id,financial_report_id/id,sequence,parent_id/id,code,level,name,groupby,domain,formulas,special_date_changer,green_on_positive,show_domain,figure_type,hide_if_zero,action_id/id
4120100,,3,4120000,A4120100,3,4120100 DESCUENTOS EN VENTAS BIENES,account_id,"[('account_id','ilike','41201%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
4120200,,4,4120000,A4120200,3,4120200 DESCUENTOS EN VENTAS DE SERVICIOS,account_id,"[('account_id','ilike','41202%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
4200000,,2,4000000,A4200000,1,4200000 INGRESOS NO OPERATIVOS,account_id,,balance = A4210000.balance + A4220000.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
4210000,,3,4200000,A4210000,2,4210000 INGRESOS POR VENTAS EN CONSIGNAION,account_id,,balance = A4210100.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
4210100,,5,4210000,A4210100,3,4210100 INGRESOS POR VENTAS EN CONSIGNAION,account_id,"[('account_id','ilike','42101%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
4220000,,4,4200000,A4220000,2,4220000 OTROS INGRESOS NO OPERATIVOS,account_id,,balance = A4220100.balance + A4220200.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
4220100,,6,4220000,A4220100,3,4220100 OTROS INGRESOS NO OPERATIVOS,account_id,"[('account_id','ilike','42201%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
4220200,,7,4220000,A4220200,3,4220200 INGRESOS FINANCIEROS,account_id,"[('account_id','ilike','42202%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
5000000,toyosa_estado_resultados,2,,A5000000,0,5000000 COSTOS RELACIONADOS CON VENTA,account_id,,balance = A5100000.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
5100000,,1,5000000,A5100000,1,5100000 COSTOS RELACIONADOS CON VENTA,account_id,,balance = A5110000.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
5110000,,1,5100000,A5110000,2,5110000 COSTO DE VENTA,account_id,,balance = A5110100.balance + A5110200.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
5110100,,1,5110000,A5110100,3,5110100 COSTO DE VENTA BIENES,account_id,"[('account_id','ilike','51101%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
5110200,,2,5110000,A5110200,3,5110200 COSTO DE VENTA SERVICIOS,account_id,"[('account_id','ilike','51102%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
6000000,toyosa_estado_resultados,3,,A6000000,0,6000000 GASTOS,account_id,,balance = A6100000.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
